Date,CHF=X,EURGBP=X,EURJPY=X,AUDUSD=X,EURUSD=X,CAD=X,JPY=X,NZDUSD=X,SGD=X,HKD=X,GBPUSD=X
8/13/2015,0,0,0,0,0,0,0,0,0,0,0
8/14/2015,0.02621841,0,0,0,0,0,0,0,0,0,0
8/17/2015,0,0,0,0.025050674,0,0.014965322,0,0,0,0,0
8/18/2015,0,0,0,0,0,0,0,0,0,0,0
8/19/2015,0,0,0,0,0,0,0,0,0,0,0
8/20/2015,0,0.031722428,0,0,0,0,0,0,0,0,0
8/21/2015,0,0,0,0,0,0,0,0,0,0,0
8/24/2015,0,0,0,0,0,0,0,0,0,-0.000423078,0
8/25/2015,0,0,0,0,0,0,0,0,0,0,0
8/26/2015,0,0,0,0,0,0,0,0,0,0,0
8/27/2015,0.026955603,0,0,0,0,0,0,0,0,0,0
8/28/2015,0,0,0,0,0,0,0,-0.009334057,0,0,0
8/31/2015,0,0,0,0,0,0,0,0,0,0,0
9/1/2015,0,0,0.00787238,0,-0.005226614,0,0.006361485,0,0,0,-0.003019076
9/2/2015,0,0,0,0,0,0,0,0,0,0,0
9/3/2015,0,0,0,0,0,0,0,-0.007909703,0,0,0
9/4/2015,0,0,0,0,0,0,0,0,0,0,0
9/7/2015,0,-0.000731694,0,0,0.01302396,0,0,0,0,0,0
9/8/2015,0,0,0.01779561,0.025242246,0,0,0,0,0,0,0
9/9/2015,0,0,0,0,0,0,0,0,0,0,0
9/10/2015,0,0,0,0,0,0,0,0,0,0,0
9/11/2015,0,0,0,0,0,0,0,0,0,0,0
9/14/2015,0,0,0,0.006572192,0,0,-0.001080657,0.00157181,0,0,0
9/15/2015,0,0,0,0,0,8.63E-05,0,0,0,0,0
9/16/2015,0,0,0,0,0,0,0,0,0,0,0
9/17/2015,0,0,0,0,0,0,0,0,0,0,0
9/18/2015,0,0,0,0,0,-0.002919443,0,0,0,0,0
9/21/2015,0,0,0,0,0,0,0,0,0,0,0
9/22/2015,0,0,0,0,0,0,0,0,0,0,0
9/23/2015,0,0,0,0,0,0,0,0,0,0,0
9/24/2015,0,0,0,0,0,0,0,0,0,0,0
9/25/2015,0,0,0,0,0,0,0,0,0,0,0
9/28/2015,0,0,0,0,0,0,0,0,0,0,0
9/29/2015,0,0.001004054,0,0,0,0,0,0,0,0,-0.00435755
9/30/2015,0,0,0,0,0,0,0,0,0,0,0
10/1/2015,0,0,0,0,0,0,0,0,0,0,0
10/2/2015,0,0,0,0,0,0,0,0,0,0,0.009129866
10/5/2015,0,0,0,0,0,0,0,0,0,0,0
10/6/2015,0,0,0,0,0,0,-0.004245573,0,0,0,0
10/7/2015,0,0,0,0,0,0,0,0,0,0,0
10/8/2015,0,0,0,0,0,0,0,0,0,0,0
10/9/2015,0,0,6.58E-05,0.004227749,0,0,0,0.02284403,0.017778843,0,0
10/12/2015,0,0,0,0,0,0,0,0,0,0,0
10/13/2015,0,0,0,0,0,0,0.000834372,0,0,0,0
10/14/2015,0,0,0,0,0,0,0,0,0,0,0
10/15/2015,0,0,0,0,0,0,0,0,0,0,0
10/16/2015,0,0,0,0,0,0,0,0,0,0,0
10/19/2015,0,0,0,0,0,0,0,0,0,0,0
10/20/2015,0,0,0,0,0,0,0.007468294,0,0,0,0
10/21/2015,0,0,0,0.020467368,0,0,0,0,0,0,0
10/22/2015,0,0,0,0,0.030160079,0,0,0,0,0,0
10/23/2015,0,0,0,0,0,0,0,0,0,0,0
10/26/2015,0,0,0,0,0,0,0,0,0,-0.000214217,0
10/27/2015,0,-0.004568302,0,0.00418745,0,-0.004219519,0,-0.007149535,0,0,0
10/28/2015,0,0,0,0,0,0,0,0,0,0,0
10/29/2015,0,0,0,0,0,0,0.009147522,0,0,0,0
10/30/2015,0,0,0,0,0,0,0,0,0,0,0
11/2/2015,0,0,0,0,0,0,0,0,0,0,0
11/3/2015,0,0,0.003299478,0,0.024018053,0,0,0,0,0,0
11/4/2015,0,0,0,0,0,0,0,0,0,0,0
11/5/2015,0,0,0,0,0,0,0,0,0,0,0.008668424
11/6/2015,0,0,0,0,0,0,0,0,0,0,0
11/9/2015,0,0,0,0,0,0,0,0,0,0,0
11/10/2015,0,0,0,0,0.007826987,0,0,0.00667026,0,0,0.006754173
11/11/2015,0,0,0,0,0,-0.003491691,0,0,0.000116808,0,0
11/12/2015,0,0,0,0,0,0,0,0,0,-0.000190954,0
11/13/2015,0,0,0,0,0,0,0,0,0,0,0
11/16/2015,0,0,0,0,0,0,0,0,0,0,0
11/17/2015,0,0,0,0,0,0,0,0,0,0,0
11/18/2015,0,0,0,0,0,0,0,0,-0.002692003,0,0
11/19/2015,0,0,0,0.01344152,0,0,0,0,0,0,0
11/20/2015,0,0,0,0,0,0,0,0,0,0,0
11/23/2015,0,0,0,0,0,0,0,0,0,0,0
11/24/2015,0,0,0,0,0,0,0,0,0,0,0
11/25/2015,0,0,0,0,0,0,0,0.015408392,0,0,0
11/26/2015,0,0,0,0,0,0,0,0,0,0,0
11/27/2015,-0.003507688,0,-0.003626454,0,0,0.00476074,0,0,-0.004131775,0,0
11/30/2015,0,0,0,0,0,0,0,0,0,0,0
12/1/2015,0,0,0,0,0,0,0,0,0,0,0
12/2/2015,0,0,0,0,0,0,0,0,0,0,0
12/3/2015,0,0,0,0,0,0,0,0,0,0,0
12/4/2015,0,0,0,0,0,0,0,0,0,0,0
12/7/2015,0,0,0,0,0,0,0,0,0,0,0
12/8/2015,0,0,0,0,0,0,0,0,0,-0.000194793,0
12/9/2015,0,0,-0.003097978,0,0,0,0,0,0,0,0
12/10/2015,0,0,0,0,0,0,0,0,0,0,0
12/11/2015,0,0,0,0,0,0.026050976,0,0,0,0,0
12/14/2015,0,0,0,0,0,0,0,0,0,0,0
12/15/2015,0,0,0,0,0,0,0,0,0.002379587,0,0
12/16/2015,0,0,0,0,0,0,0,0,0,0,0
12/17/2015,0,0,0.007288181,-0.005398093,0,0,0,0,0,0,0
12/18/2015,0,0,0,0,0,0,0,0,0,0,0
12/21/2015,0.004515716,0,0,0,0,0,0,0,0,0,-0.00054259
12/22/2015,0,0,0,0,0,0,0,0,0,0,0
12/23/2015,0,0,0,0,0,0.00300543,0,0,0,0,0
12/24/2015,0,0,0,0.002780805,0,0,0.004204106,0,0,0,0
12/25/2015,0,0,0,0,0,0,0,0,-0.002708705,0,0
12/28/2015,0,0,0,0,0,0,0,0,0,0,0
12/29/2015,0,0,0,0,0,0,0,0,0,0,0
12/30/2015,0,0,0,0,0,0,0,0,0,0,0
12/31/2015,0,0,0,0,0,0,0,0,0,0,0
1/1/2016,0,0,0,0,0,-0.004913583,0,0,0,0,0
1/4/2016,0,0,0,0,0,0,0,0.041505067,0,0,0
1/5/2016,0,0,0,0,0,0,0,0,0,0,0
1/6/2016,0,0,0,0,0,0,0,0,0,0,0
1/7/2016,0,0,0,0,0,0,0,0,0,0,0
1/8/2016,0,0,0,0,0,0,0,0,0,0,0
1/11/2016,0,0,0,0,0,0,0,0,0,0,0
1/12/2016,0,0,0,0,0,0,0,0,0,0,0
1/13/2016,0,0,0,-0.011516324,0,0,0,-0.007179249,-0.002034023,0,0
1/14/2016,0,0.012709306,0,0,0,0,0,0,0,0.006279524,0.011155204
1/15/2016,0,0,0,0,0,0,0,0,0,0,0
1/18/2016,0,0,0,0,0,0,0,0,0,0,0
1/19/2016,0,0,0,0,0.000815061,0,0.007854011,0,0.007722838,0,0
1/20/2016,0,0,0,0,0,0,0,0,0,0,0
1/21/2016,0,0,0,0,0,0,0,0,0,0,0
1/22/2016,0,0,0,0,0,0,0,0,0,0,0
1/25/2016,0,0,0,0,0,0,0,0,0,0,0
1/26/2016,0,-0.004102836,0,0,0,0,0,0,0,-0.000806375,0
1/27/2016,0,0,0,0,0,0,0,0,0,0,0
1/28/2016,0,0,0,0,0,0,0,0,0,0,0
1/29/2016,0,0,0,0,0,0,0,0,0,0,0
2/1/2016,0,0,0,0,0,0,0,0,0,0,0
2/2/2016,0,-0.006471654,0.009194746,0,0,0,0,0,0,0,0
2/3/2016,0.042726857,0,0,0,0,0,0,0,0,0,0
2/4/2016,0,0,0,0,0,0,0,0,0,0,0
2/5/2016,0,0,0,0,0,0,0,0,0,0,0
2/8/2016,0,0,0,0,0,0,0,0,0,0,0
2/9/2016,0,0,0,0,0,0,0,0,0,-0.000568095,0
2/10/2016,0,0,0,0,0,0,0,0,0,0,-0.007676241
2/11/2016,0,0,0,0,0,-0.009501081,0,0,0,0.001084169,0
2/12/2016,0,0,0,0,0,0,0,0,0,0,0
2/15/2016,0,0,-0.009497738,0.014628448,0,0.012839127,0,0,0,0.002060811,0
2/16/2016,0,0,0,0,0,0,0,0,0,0,0
2/17/2016,0,0,0,0,0,0,0,0,0,0,0
